Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Malaysia,2.5,112.5,1/22/20,0,0,0
,Malaysia,2.5,112.5,1/23/20,0,0,0
,Malaysia,2.5,112.5,1/24/20,0,0,0
,Malaysia,2.5,112.5,1/25/20,3,0,0
,Malaysia,2.5,112.5,1/26/20,4,0,0
,Malaysia,2.5,112.5,1/27/20,4,0,0
,Malaysia,2.5,112.5,1/28/20,4,0,0
,Malaysia,2.5,112.5,1/29/20,7,0,0
,Malaysia,2.5,112.5,1/30/20,8,0,0
,Malaysia,2.5,112.5,1/31/20,8,0,0
,Malaysia,2.5,112.5,2/1/20,8,0,0
,Malaysia,2.5,112.5,2/2/20,8,0,0
,Malaysia,2.5,112.5,2/3/20,8,0,0
,Malaysia,2.5,112.5,2/4/20,10,0,0
,Malaysia,2.5,112.5,2/5/20,12,0,0
,Malaysia,2.5,112.5,2/6/20,12,0,0
,Malaysia,2.5,112.5,2/7/20,12,0,1
,Malaysia,2.5,112.5,2/8/20,16,0,1
,Malaysia,2.5,112.5,2/9/20,16,0,1
,Malaysia,2.5,112.5,2/10/20,18,0,1
,Malaysia,2.5,112.5,2/11/20,18,0,3
,Malaysia,2.5,112.5,2/12/20,18,0,3
,Malaysia,2.5,112.5,2/13/20,19,0,3
,Malaysia,2.5,112.5,2/14/20,19,0,3
,Malaysia,2.5,112.5,2/15/20,22,0,7
,Malaysia,2.5,112.5,2/16/20,22,0,7
,Malaysia,2.5,112.5,2/17/20,22,0,7
,Malaysia,2.5,112.5,2/18/20,22,0,13
,Malaysia,2.5,112.5,2/19/20,22,0,15
,Malaysia,2.5,112.5,2/20/20,22,0,15
,Malaysia,2.5,112.5,2/21/20,22,0,15
,Malaysia,2.5,112.5,2/22/20,22,0,15
,Malaysia,2.5,112.5,2/23/20,22,0,15
,Malaysia,2.5,112.5,2/24/20,22,0,18
,Malaysia,2.5,112.5,2/25/20,22,0,18
,Malaysia,2.5,112.5,2/26/20,22,0,18
,Malaysia,2.5,112.5,2/27/20,23,0,18
,Malaysia,2.5,112.5,2/28/20,23,0,18
,Malaysia,2.5,112.5,2/29/20,25,0,18
,Malaysia,2.5,112.5,3/1/20,29,0,18
,Malaysia,2.5,112.5,3/2/20,29,0,18
,Malaysia,2.5,112.5,3/3/20,36,0,22
,Malaysia,2.5,112.5,3/4/20,50,0,22
,Malaysia,2.5,112.5,3/5/20,50,0,22
,Malaysia,2.5,112.5,3/6/20,83,0,22
,Malaysia,2.5,112.5,3/7/20,93,0,23
,Malaysia,2.5,112.5,3/8/20,99,0,24
,Malaysia,2.5,112.5,3/9/20,117,0,24
,Malaysia,2.5,112.5,3/10/20,129,0,24
,Malaysia,2.5,112.5,3/11/20,149,0,26
