Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Singapore,1.2833,103.8333,1/22/20,0,0,0
,Singapore,1.2833,103.8333,1/23/20,1,0,0
,Singapore,1.2833,103.8333,1/24/20,3,0,0
,Singapore,1.2833,103.8333,1/25/20,3,0,0
,Singapore,1.2833,103.8333,1/26/20,4,0,0
,Singapore,1.2833,103.8333,1/27/20,5,0,0
,Singapore,1.2833,103.8333,1/28/20,7,0,0
,Singapore,1.2833,103.8333,1/29/20,7,0,0
,Singapore,1.2833,103.8333,1/30/20,10,0,0
,Singapore,1.2833,103.8333,1/31/20,13,0,0
,Singapore,1.2833,103.8333,2/1/20,16,0,0
,Singapore,1.2833,103.8333,2/2/20,18,0,0
,Singapore,1.2833,103.8333,2/3/20,18,0,0
,Singapore,1.2833,103.8333,2/4/20,24,0,0
,Singapore,1.2833,103.8333,2/5/20,28,0,0
,Singapore,1.2833,103.8333,2/6/20,28,0,0
,Singapore,1.2833,103.8333,2/7/20,30,0,0
,Singapore,1.2833,103.8333,2/8/20,33,0,2
,Singapore,1.2833,103.8333,2/9/20,40,0,2
,Singapore,1.2833,103.8333,2/10/20,45,0,2
,Singapore,1.2833,103.8333,2/11/20,47,0,9
,Singapore,1.2833,103.8333,2/12/20,50,0,15
,Singapore,1.2833,103.8333,2/13/20,58,0,15
,Singapore,1.2833,103.8333,2/14/20,67,0,17
,Singapore,1.2833,103.8333,2/15/20,72,0,18
,Singapore,1.2833,103.8333,2/16/20,75,0,18
,Singapore,1.2833,103.8333,2/17/20,77,0,24
,Singapore,1.2833,103.8333,2/18/20,81,0,29
,Singapore,1.2833,103.8333,2/19/20,84,0,34
,Singapore,1.2833,103.8333,2/20/20,84,0,34
,Singapore,1.2833,103.8333,2/21/20,85,0,37
,Singapore,1.2833,103.8333,2/22/20,85,0,37
,Singapore,1.2833,103.8333,2/23/20,89,0,51
,Singapore,1.2833,103.8333,2/24/20,89,0,51
,Singapore,1.2833,103.8333,2/25/20,91,0,53
,Singapore,1.2833,103.8333,2/26/20,93,0,62
,Singapore,1.2833,103.8333,2/27/20,93,0,62
,Singapore,1.2833,103.8333,2/28/20,93,0,62
,Singapore,1.2833,103.8333,2/29/20,102,0,72
,Singapore,1.2833,103.8333,3/1/20,106,0,72
,Singapore,1.2833,103.8333,3/2/20,108,0,78
,Singapore,1.2833,103.8333,3/3/20,110,0,78
,Singapore,1.2833,103.8333,3/4/20,110,0,78
,Singapore,1.2833,103.8333,3/5/20,117,0,78
,Singapore,1.2833,103.8333,3/6/20,130,0,78
,Singapore,1.2833,103.8333,3/7/20,138,0,78
,Singapore,1.2833,103.8333,3/8/20,150,0,78
,Singapore,1.2833,103.8333,3/9/20,150,0,78
,Singapore,1.2833,103.8333,3/10/20,160,0,78
,Singapore,1.2833,103.8333,3/11/20,178,0,96
,Singapore,1.2833,103.8333,3/12/20,178,0,96
,Singapore,1.2833,103.8333,3/13/20,200,0,97
,Singapore,1.2833,103.8333,3/14/20,212,0,105
,Singapore,1.2833,103.8333,3/15/20,226,0,105
,Singapore,1.2833,103.8333,3/16/20,243,0,109
,Singapore,1.2833,103.8333,3/17/20,266,0,114
,Singapore,1.2833,103.8333,3/18/20,313,0,114
,Singapore,1.2833,103.8333,3/19/20,345,0,114
,Singapore,1.2833,103.8333,3/20/20,385,0,124
,Singapore,1.2833,103.8333,3/21/20,432,2,140
,Singapore,1.2833,103.8333,3/22/20,455,2,144
,Singapore,1.2833,103.8333,3/23/20,509,2,144
,Singapore,1.2833,103.8333,3/24/20,558,2,156
,Singapore,1.2833,103.8333,3/25/20,631,2,160
,Singapore,1.2833,103.8333,3/26/20,683,2,172
,Singapore,1.2833,103.8333,3/27/20,732,2,183
,Singapore,1.2833,103.8333,3/28/20,802,2,198
,Singapore,1.2833,103.8333,3/29/20,844,3,212
,Singapore,1.2833,103.8333,3/30/20,879,3,228
,Singapore,1.2833,103.8333,3/31/20,926,3,240
,Singapore,1.2833,103.8333,4/1/20,1000,3,245
,Singapore,1.2833,103.8333,4/2/20,1049,4,266
,Singapore,1.2833,103.8333,4/3/20,1114,5,282
,Singapore,1.2833,103.8333,4/4/20,1189,6,297
,Singapore,1.2833,103.8333,4/5/20,1309,6,320
,Singapore,1.2833,103.8333,4/6/20,1375,6,344
,Singapore,1.2833,103.8333,4/7/20,1481,6,377
,Singapore,1.2833,103.8333,4/8/20,1623,6,406
,Singapore,1.2833,103.8333,4/9/20,1910,6,460
,Singapore,1.2833,103.8333,4/10/20,2108,7,492
,Singapore,1.2833,103.8333,4/11/20,2299,8,528
,Singapore,1.2833,103.8333,4/12/20,2532,8,560
,Singapore,1.2833,103.8333,4/13/20,2918,9,586
,Singapore,1.2833,103.8333,4/14/20,3252,10,611
,Singapore,1.2833,103.8333,4/15/20,3699,10,652
,Singapore,1.2833,103.8333,4/16/20,4427,10,683
,Singapore,1.2833,103.8333,4/17/20,5050,11,708
,Singapore,1.2833,103.8333,4/18/20,5992,11,740
,Singapore,1.2833,103.8333,4/19/20,6588,11,768
,Singapore,1.2833,103.8333,4/20/20,8014,11,801
