Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0
Fujian,China,26.0789,117.9874,2020-01-22,1,0,0
Gansu,China,37.8099,101.0583,2020-01-22,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0
Hebei,China,39.549,116.1306,2020-01-22,1,0,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,0
Henan,China,33.882,113.61399999999999,2020-01-22,5,0,0
Hong Kong,China,22.3,114.2,2020-01-22,0,0,0
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0
Jilin,China,43.6661,126.1923,2020-01-22,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0
Macau,China,22.1667,113.55,2020-01-22,1,0,0
Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0
Qinghai,China,35.7452,95.9956,2020-01-22,0,0,0
Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,0
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-22,9,0,0
Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0
Tianjin,China,39.3054,117.323,2020-01-22,4,0,0
Tibet,China,31.6927,88.0924,2020-01-22,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-22,1,0,0
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0
Anhui,China,31.8257,117.2264,2020-01-23,9,0,0
Beijing,China,40.1824,116.4142,2020-01-23,22,0,0
Chongqing,China,30.0572,107.874,2020-01-23,9,0,0
Fujian,China,26.0789,117.9874,2020-01-23,5,0,0
Gansu,China,37.8099,101.0583,2020-01-23,2,0,0
Guangdong,China,23.3417,113.4244,2020-01-23,32,0,2
Guangxi,China,23.8298,108.7881,2020-01-23,5,0,0
Guizhou,China,26.8154,106.8748,2020-01-23,3,0,0
Hainan,China,19.1959,109.7453,2020-01-23,5,0,0
Hebei,China,39.549,116.1306,2020-01-23,1,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-23,2,0,0
Henan,China,33.882,113.61399999999999,2020-01-23,5,0,0
Hong Kong,China,22.3,114.2,2020-01-23,2,0,0
Hubei,China,30.9756,112.2707,2020-01-23,444,17,28
Hunan,China,27.6104,111.7088,2020-01-23,9,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-23,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-23,5,0,0
Jiangxi,China,27.614,115.7221,2020-01-23,7,0,0
Jilin,China,43.6661,126.1923,2020-01-23,1,0,0
Liaoning,China,41.2956,122.6085,2020-01-23,3,0,0
Macau,China,22.1667,113.55,2020-01-23,2,0,0
Ningxia,China,37.2692,106.1655,2020-01-23,1,0,0
Qinghai,China,35.7452,95.9956,2020-01-23,0,0,0
Shaanxi,China,35.1917,108.8701,2020-01-23,3,0,0
Shandong,China,36.3427,118.1498,2020-01-23,6,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-23,16,0,0
Shanxi,China,37.5777,112.2922,2020-01-23,1,0,0
Sichuan,China,30.6171,102.7103,2020-01-23,8,0,0
Tianjin,China,39.3054,117.323,2020-01-23,4,0,0
Tibet,China,31.6927,88.0924,2020-01-23,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-23,2,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-23,2,0,0
Zhejiang,China,29.1832,120.0934,2020-01-23,27,0,0
Anhui,China,31.8257,117.2264,2020-01-24,15,0,0
Beijing,China,40.1824,116.4142,2020-01-24,36,0,1
Chongqing,China,30.0572,107.874,2020-01-24,27,0,0
Fujian,China,26.0789,117.9874,2020-01-24,10,0,0
Gansu,China,37.8099,101.0583,2020-01-24,2,0,0
Guangdong,China,23.3417,113.4244,2020-01-24,53,0,2
Guangxi,China,23.8298,108.7881,2020-01-24,23,0,0
Guizhou,China,26.8154,106.8748,2020-01-24,3,0,0
Hainan,China,19.1959,109.7453,2020-01-24,8,0,0
Hebei,China,39.549,116.1306,2020-01-24,2,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-24,4,1,0
Henan,China,33.882,113.61399999999999,2020-01-24,9,0,0
Hong Kong,China,22.3,114.2,2020-01-24,2,0,0
Hubei,China,30.9756,112.2707,2020-01-24,549,24,31
Hunan,China,27.6104,111.7088,2020-01-24,24,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-24,1,0,0
Jiangsu,China,32.9711,119.455,2020-01-24,9,0,0
Jiangxi,China,27.614,115.7221,2020-01-24,18,0,0
Jilin,China,43.6661,126.1923,2020-01-24,3,0,0
Liaoning,China,41.2956,122.6085,2020-01-24,4,0,0
Macau,China,22.1667,113.55,2020-01-24,2,0,0
Ningxia,China,37.2692,106.1655,2020-01-24,2,0,0
Qinghai,China,35.7452,95.9956,2020-01-24,0,0,0
Shaanxi,China,35.1917,108.8701,2020-01-24,5,0,0
Shandong,China,36.3427,118.1498,2020-01-24,15,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-24,20,0,1
Shanxi,China,37.5777,112.2922,2020-01-24,1,0,0
Sichuan,China,30.6171,102.7103,2020-01-24,15,0,0
Tianjin,China,39.3054,117.323,2020-01-24,8,0,0
Tibet,China,31.6927,88.0924,2020-01-24,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-24,2,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-24,5,0,0
Zhejiang,China,29.1832,120.0934,2020-01-24,43,0,1
Anhui,China,31.8257,117.2264,2020-01-25,39,0,0
Beijing,China,40.1824,116.4142,2020-01-25,41,0,2
Chongqing,China,30.0572,107.874,2020-01-25,57,0,0
Fujian,China,26.0789,117.9874,2020-01-25,18,0,0
Gansu,China,37.8099,101.0583,2020-01-25,4,0,0
Guangdong,China,23.3417,113.4244,2020-01-25,78,0,2
Guangxi,China,23.8298,108.7881,2020-01-25,23,0,0
Guizhou,China,26.8154,106.8748,2020-01-25,4,0,0
Hainan,China,19.1959,109.7453,2020-01-25,19,0,0
Hebei,China,39.549,116.1306,2020-01-25,8,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-25,9,1,0
Henan,China,33.882,113.61399999999999,2020-01-25,32,0,0
Hong Kong,China,22.3,114.2,2020-01-25,5,0,0
Hubei,China,30.9756,112.2707,2020-01-25,761,40,32
Hunan,China,27.6104,111.7088,2020-01-25,43,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-25,7,0,0
Jiangsu,China,32.9711,119.455,2020-01-25,18,0,1
Jiangxi,China,27.614,115.7221,2020-01-25,18,0,0
Jilin,China,43.6661,126.1923,2020-01-25,4,0,0
Liaoning,China,41.2956,122.6085,2020-01-25,17,0,0
Macau,China,22.1667,113.55,2020-01-25,2,0,0
Ningxia,China,37.2692,106.1655,2020-01-25,3,0,0
Qinghai,China,35.7452,95.9956,2020-01-25,1,0,0
Shaanxi,China,35.1917,108.8701,2020-01-25,15,0,0
Shandong,China,36.3427,118.1498,2020-01-25,27,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-25,33,0,1
Shanxi,China,37.5777,112.2922,2020-01-25,6,0,0
Sichuan,China,30.6171,102.7103,2020-01-25,28,0,0
Tianjin,China,39.3054,117.323,2020-01-25,10,0,0
Tibet,China,31.6927,88.0924,2020-01-25,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-25,3,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-25,11,0,0
Zhejiang,China,29.1832,120.0934,2020-01-25,62,0,1
Anhui,China,31.8257,117.2264,2020-01-26,60,0,0
Beijing,China,40.1824,116.4142,2020-01-26,68,0,2
Chongqing,China,30.0572,107.874,2020-01-26,75,0,0
Fujian,China,26.0789,117.9874,2020-01-26,35,0,0
